ZipCode,AdjacentZipCode
15026,15126
15026,15205
15026,15126
15026,15205
15135,15129
15135,15089
15215,15205
15017,15126
15017,15301
15017,15301
15017,15205
15017,15129
15017,15143
15126,15026
15126,15017
15126,15026
15126,15010
15126,15205
15126,15143
15479,15679
15479,15022
15479,15672
15479,15089
15479,15679
15479,15022
15479,15672
15479,15089
15010,15126
15679,15479
15679,15022
15679,15672
15679,15089
15679,15479
15022,15479
15022,15679
15022,15301
15022,15301
15022,15672
15022,15129
15022,15089
15022,15479
15301,15017
15301,15017
15301,15022
15301,15022
15672,15479
15672,15679
15672,15022
15672,15089
15672,15479
15205,15026
15205,15215
15205,15017
15205,15126
15205,15026
15205,15143
15129,15135
15129,15017
15129,15022
15143,15017
15143,15126
15143,15205
15089,15135
15089,15479
15089,15679
15089,15022
15089,15672
15089,15479
