name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
pittsburgh,2024-04-01T00:00:00,10.9,10.9,5.7,70.38,0,0,,0,0,13,8,55,1012.5,90.7,15.4,0,0,0,10,Overcast,cloudy,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T01:00:00,10.3,10.3,5.7,72.98,0,0,,0,0,14.8,7.3,60,1011.9,90.7,16,0,0,0,10,Overcast,cloudy,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T02:00:00,10.3,10.3,5.7,72.83,0,0,,0,0,14.8,7.5,69,1010.8,100,16,0,0,0,10,Overcast,cloudy,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T03:00:00,9.8,9.8,6.2,77.77,0,0,rain,0,0,16.6,0.3,3,1011,100,12.9,0,0,0,10,Overcast,cloudy,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T04:00:00,8.7,7.9,7.5,92.05,4.042,100,rain,0,0,20.5,6.4,12,1010.8,100,6.3,0,0,0,10,"Rain, Overcast",rain,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T05:00:00,8.7,7.4,7.6,92.97,5.447,100,rain,0,0,22.3,8.7,13,1010.6,100,3.2,0,0,0,10,"Rain, Overcast",rain,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T06:00:00,8.7,7.6,7.6,92.97,2.327,100,rain,0,0,20.5,7.7,74,1010,100,6,0,0,0,10,"Rain, Overcast",rain,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T07:00:00,8.9,8,8.2,95.39,1.051,100,rain,0,0,20.5,6.8,358,1010.9,100,2.5,0,0,0,10,"Rain, Overcast",rain,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T08:00:00,8.9,7.6,7.8,93.12,0.669,100,rain,0,0,18.4,8.5,9,1011.6,100,1.1,30,0.1,0,10,"Rain, Overcast",rain,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T09:00:00,8.9,7.9,8.2,95.4,0.91,100,rain,0,0,16.6,7.5,27,1012.4,100,2.4,29,0.1,0,10,"Rain, Overcast",rain,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T10:00:00,9.9,9.9,8.9,93.3,0.454,100,rain,0,0,16.6,3.8,85,1011.6,100,9.1,53,0.2,1,10,"Rain, Overcast",rain,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T11:00:00,10.7,10.7,9.4,91.47,0.873,100,rain,0,0,11.2,8.7,141,1011.6,99.2,8.8,169,0.6,2,10,"Rain, Overcast",rain,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T12:00:00,11.8,11.8,10.4,91.44,0.05,100,rain,0,0,14.8,12.8,354,1012,100,7.7,257,0.9,3,10,"Rain, Overcast",rain,"KBTP,KAGC,KPIT,0561W"
pittsburgh,2024-04-01T13:00:00,14.5,14.5,11,79.32,0.063,100,rain,0,0,13,4.3,356,1011.7,91.5,14.6,550,2,6,10,"Rain, Overcast",rain,"KBTP,KAGC,KPIT,0561W"
